Bias,R,_X,Frequency,X
0.7,33441.7,3500.78,15374.52,-3500.78
0.7,33420.2,3577.98,15733.36,-3577.98
0.7,33380,3666.17,16100.58,-3666.17
0.7,33353.6,3746.67,16476.37,-3746.67
0.7,33326.5,3826.76,16860.94,-3826.76
0.7,33299.6,3910.31,17254.47,-3910.31
0.7,33271.8,3996,17657.2,-3996
0.7,33246.1,4081.76,18069.32,-4081.76
0.7,33215.1,4169.51,18491.06,-4169.51
0.7,33183.9,4258.43,18922.65,-4258.43
0.7,33151.4,4348.3,19364.31,-4348.3
0.7,33121.4,4443.75,19816.27,-4443.75
0.7,33084,4537.46,20278.79,-4537.46
0.7,33048.4,4633.23,20752.1,-4633.23
0.7,33008.1,4732.67,21236.46,-4732.67
0.7,32971.3,4831.53,21732.12,-4831.53
0.7,32929.8,4933.65,22239.35,-4933.65
0.7,32886.6,5037.15,22758.43,-5037.15
0.7,32843.1,5141.75,23289.61,-5141.75
0.7,32800.2,5249.53,23833.2,-5249.53
0.7,32749.7,5358.3,24389.47,-5358.3
0.7,32700.6,5470.11,24958.72,-5470.11
0.7,32648.9,5581.75,25541.27,-5581.75
0.7,32595.9,5697.81,26137.4,-5697.81
0.7,32541.3,5813.97,26747.46,-5813.97
0.7,32483.5,5931.88,27371.75,-5931.88
0.7,32424.6,6052.75,28010.61,-6052.75
0.7,32360.9,6175.06,28664.38,-6175.06
0.7,32298.2,6299.29,29333.42,-6299.29
0.7,32228.2,6424.23,30018.07,-6424.23
0.7,32159.7,6552.06,30718.69,-6552.06
0.7,32088.5,6682.94,31435.67,-6682.94
0.7,32014.8,6813.56,32169.39,-6813.56
0.7,31936,6946.73,32920.23,-6946.73
0.7,31854.6,7081.41,33688.6,-7081.41
0.7,31773.2,7217.41,34474.89,-7217.41
0.7,31685.1,7356.51,35279.55,-7356.51
0.7,31597.2,7496.58,36102.98,-7496.58
0.7,31503.2,7640.2,36945.63,-7640.2
0.7,31407.6,7783.31,37807.95,-7783.31
0.7,31309.8,7928.76,38690.39,-7928.76
0.7,31204.8,8073.57,39593.44,-8073.57
0.7,31098.9,8223.49,40517.55,-8223.49
0.7,30985.1,8370.2,41463.24,-8370.2
0.7,30874.2,8522.03,42431,-8522.03
0.7,30754.6,8673.81,43421.35,-8673.81
0.7,30626.7,8822.51,44434.82,-8822.51
0.7,30498.7,8976.46,45471.93,-8976.46
0.7,30366.3,9130.37,46533.26,-9130.37
0.7,30225.5,9283.49,47619.35,-9283.49
0.7,30085.9,9439.55,48730.8,-9439.55
0.7,29938.3,9594.3,49868.19,-9594.3
0.7,29789.8,9750.82,51032.12,-9750.82
0.7,29638.2,9909.53,52223.22,-9909.53
0.7,29477,10065.7,53442.12,-10065.7
0.7,29314.4,10224.1,54689.47,-10224.1
0.7,29141.9,10378.8,55965.94,-10378.8
0.7,28968.6,10535.5,57272.19,-10535.5
0.7,28789,10691.4,58608.94,-10691.4
0.7,28603.6,10846.3,59976.88,-10846.3
0.7,28411.5,10998.5,61376.76,-10998.5
0.7,28215.3,11149.4,62809.3,-11149.4
0.7,28017.6,11303.9,64275.29,-11303.9
0.7,27813.1,11454,65775.49,-11454
0.7,27601.9,11600.3,67310.7,-11600.3
0.7,27387.5,11747.7,68881.75,-11747.7
0.7,27166.1,11892.4,70489.46,-11892.4
0.7,26938.7,12031.9,72134.7,-12031.9
0.7,26707.2,12173.1,73818.34,-12173.1
0.7,26471,12309,75541.27,-12309
0.7,26229.7,12442.2,77304.42,-12442.2
0.7,25982.4,12572.8,79108.72,-12572.8
0.7,25729.9,12699.6,80955.14,-12699.6
0.7,25473.4,12821.1,82844.65,-12821.1
0.7,25211.2,12939.8,84778.26,-12939.8
0.7,24945.5,13055.8,86757,-13055.8
0.7,24677.1,13165.8,88781.93,-13165.8
0.7,24403.8,13271.7,90854.12,-13271.7
0.7,24126.4,13371,92974.67,-13371
0.7,23844.1,13468.2,95144.72,-13468.2
0.7,23557.8,13559.9,97365.42,-13559.9
0.7,23268,13645.1,99637.95,-13645.1
0.7,22972.3,13726.7,101963.5,-13726.7
0.7,22687.6,13800,104343.4,-13800
0.7,22381.6,13870.6,106778.8,-13870.6
0.7,22079.3,13934.2,109271,-13934.2
0.7,21782.6,13989.9,111821.4,-13989.9
0.7,21478.2,14041.2,114431.4,-14041.2
0.7,21169.6,14088.3,117102.2,-14088.3
0.7,20864.2,14124.3,119835.4,-14124.3
0.7,20554.2,14155.5,122632.4,-14155.5
0.7,20240.8,14180.4,125494.6,-14180.4
0.7,19932.8,14200.3,128423.7,-14200.3
0.7,19621.5,14212.9,131421.2,-14212.9
0.7,19308,14220.8,134488.6,-14220.8
0.7,19002,14220.7,137627.5,-14220.7
0.7,18692.8,14214.4,140839.8,-14214.4
0.7,18382.6,14201,144127,-14201
0.7,18071.1,14182.3,147491,-14182.3
0.7,17768.1,14156.4,150933.5,-14156.4
0.7,17456.5,14124.7,154456.3,-14124.7
0.7,17154.1,14088.5,158061.3,-14088.5
0.7,16852.6,14044.1,161750.5,-14044.1
0.7,16561,13996,165525.8,-13996
0.7,16263.4,13941.4,169389.2,-13941.4
0.7,15974.5,13882.2,173342.8,-13882.2
0.7,15681,13816.9,177388.6,-13816.9
0.7,15396.8,13747.9,181528.9,-13747.9
0.7,15112.2,13670.7,185765.9,-13670.7
0.7,14834.7,13593.1,190101.7,-13593.1
0.7,14562.4,13510.9,194538.7,-13510.9
0.7,14288.1,13421.6,199079.3,-13421.6
0.7,14024.3,13331.6,203725.8,-13331.6
0.7,13758.2,13234.3,208480.8,-13234.3
0.7,13503.1,13135.9,213346.8,-13135.9
0.7,13247.5,13032.3,218326.4,-13032.3
0.7,12998.7,12927.3,223422.1,-12927.3
0.7,12754.3,12818.8,228636.9,-12818.8
0.7,12512.8,12707.7,233973.3,-12707.7
0.7,12280.2,12596.2,239434.3,-12596.2
0.7,12050.1,12480.8,245022.7,-12480.8
0.7,11824.6,12363.1,250741.6,-12363.1
0.7,11600.9,12242.4,256594,-12242.4
0.7,11384,12121,262582.9,-12121
0.7,11173.7,12000.2,268711.7,-12000.2
0.7,10965.7,11876.2,274983.5,-11876.2
0.7,10764.2,11751.8,281401.6,-11751.8
0.7,10564.3,11625.2,287969.6,-11625.2
0.7,10371.5,11499.9,294690.9,-11499.9
0.7,10181.8,11373.2,301569,-11373.2
0.7,9998.86,11247.7,308607.7,-11247.7
0.7,9819.44,11122.6,315810.7,-11122.6
0.7,9642.69,10995.4,323181.8,-10995.4
0.7,9471.59,10869.6,330724.9,-10869.6
0.7,9304.57,10744.5,338444.1,-10744.5
0.7,9140.7,10618.9,346343.4,-10618.9
0.7,8980.75,10493.9,354427.2,-10493.9
0.7,8823.59,10368.9,362699.6,-10368.9
0.7,8670.64,10244.8,371165.1,-10244.8
0.7,8523.43,10124,379828.1,-10124
0.7,8377.88,10002.3,388693.4,-10002.3
0.7,8235.81,9881.54,397765.6,-9881.54
0.7,8098.91,9764.28,407049.5,-9764.28
0.7,7960.82,9643.57,416550.1,-9643.57
0.7,7828.46,9526.97,426272.5,-9526.97
0.7,7700.07,9412.15,436221.8,-9412.15
0.7,7573.35,9297.97,446403.3,-9297.97
0.7,7450.08,9185.45,456822.4,-9185.45
0.7,7327.59,9072.91,467484.8,-9072.91
0.7,7208.59,8962.67,478396,-8962.67
0.7,7091.48,8853.41,489561.8,-8853.41
0.7,6977.52,8746.57,500988.3,-8746.57
0.7,6866.07,8641.13,512681.5,-8641.13
0.7,6756.62,8536.81,524647.6,-8536.81
0.7,6648.19,8433.11,536893,-8433.11
0.7,6542.12,8332.19,549424.2,-8332.19
0.7,6437.93,8232.57,562247.8,-8232.57
0.7,6335.5,8134.29,575370.8,-8134.29
0.7,6235.51,8037.27,588800.1,-8037.27
0.7,6137.61,7942.37,602542.8,-7942.37
0.7,6040.14,7848.11,616606.3,-7848.11
0.7,5943.75,7755.6,630998,-7755.6
0.7,5848.76,7664.83,645725.6,-7664.83
0.7,5755.7,7574.05,660797,-7574.05
0.7,5664.29,7485.28,676220.2,-7485.28
0.7,5573.8,7398.45,692003.3,-7398.45
0.7,5486.26,7311.28,708154.8,-7311.28
0.7,5398.17,7226.47,724683.3,-7226.47
0.7,5310.95,7144.05,741597.5,-7144.05
0.7,5224.76,7061.26,758906.6,-7061.26
0.7,5139.92,6979.91,776619.6,-6979.91
0.7,5056.3,6899.92,794746.1,-6899.92
0.7,4973.01,6821.15,813295.6,-6821.15
0.7,4891.01,6743.06,832278.1,-6743.06
0.7,4809.45,6666.4,851703.7,-6666.4
0.7,4728.96,6590.11,871582.6,-6590.11
0.7,4649.42,6515.59,891925.5,-6515.59
0.7,4570.42,6441.05,912743.3,-6441.05
0.7,4492.5,6368.08,934046.9,-6368.08
0.7,4414.93,6294.79,955847.7,-6294.79
0.7,4338.14,6223.38,978157.4,-6223.38
0.7,4261.81,6152.05,1000988,-6152.05
0.7,4187.96,6082.13,1024351,-6082.13
0.7,4113.34,6012.43,1048260,-6012.43
0.7,4038,5942.15,1072726,-5942.15
0.7,3965.09,5873.63,1097764,-5873.63
0.7,3894.54,5807.56,1123386,-5807.56
0.7,3820.59,5738.29,1149606,-5738.29
0.7,3751.93,5673.76,1176438,-5673.76
0.7,3680.62,5606.25,1203896,-5606.25
0.7,3611.43,5540.92,1231996,-5540.92
0.7,3542.1,5474.76,1260751,-5474.76
0.7,3475.25,5411.84,1290177,-5411.84
0.7,3408.08,5348.01,1320290,-5348.01
0.7,3341.15,5283.33,1351106,-5283.33
0.7,3274.77,5218.3,1382641,-5218.3
0.7,3210.29,5156.07,1414912,-5156.07
0.7,3146,5093.02,1447936,-5093.02
0.7,3082.27,5029.84,1481731,-5029.84
0.7,3021.29,4968.67,1516315,-4968.67
0.7,2958.56,4906.91,1551706,-4906.91
0.7,2898.35,4845.73,1587924,-4845.73
0.7,2838.61,4784.84,1624986,-4784.84
0.7,2779.51,4724,1662914,-4724
0.7,2720.81,4663.82,1701726,-4663.82
0.7,2664.21,4604.87,1741445,-4604.87
0.7,2606.94,4544.93,1782091,-4544.93
0.7,2550.61,4484.98,1823685,-4484.98
0.7,2496.91,4427.41,1866250,-4427.41
0.7,2442.46,4368.33,1909809,-4368.33
0.7,2390.43,4310.78,1954384,-4310.78
0.7,2337.75,4252.59,2000000,-4252.59
